,Ecoli.53,Pm.9,KECS.64,Ent.24,Pm.18,St.17,KECS.60,Ecoli.27,Ent.50,St.48,Ecoli.11,Pm.43,Pm.47,Ent.7,Pm.30,Pm.40,St.3,Ent.19,Ent.1,Ecoli.56,Pm.33,Ps.14,Ent.8,KECS.21,KECS.37,Ent.26,Ent.67,Ent.66,Ps.16,Ecoli.28,Ent.49,Ps.2,Ps.46,Ecoli.59,Ent.63,Ecoli.31,Ps.32,Ecoli.36,Ecoli.45,Ecoli.51,Ent.13,KECS.4,KECS.34,Ent.10,Ecoli.5,Ecoli.39,Pm.65,Ent.42,Ecoli.57,Ent.41,St.58,Ecoli.38,Ecoli.44,Ecoli.61,St.29,Ps.22,St.55,Ent.62,Ecoli.23,Ecoli.25,St.12,Ps.6,Ecoli.54,Ecoli.20,Ent.35,Ecoli.52,Ps.15
Ecoli.53,0.0,0.05714285714285714,0.0,0.10476190476190476,0.13333333333333333,0.0761904761904762,0.0,0.009523809523809525,0.10476190476190476,0.13333333333333333,0.0,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.11428571428571428,0.14285714285714285,0.08571428571428572,0.11428571428571428,0.13333333333333333,0.0,0.13333333333333333,0.1619047619047619,0.009523809523809525,0.009523809523809525,0.0,0.1619047619047619,0.009523809523809525,0.10476190476190476,0.12380952380952381,0.18095238095238095,0.11428571428571428,0.12380952380952381,0.12380952380952381,0.009523809523809525,0.11428571428571428,0.09523809523809523,0.10476190476190476,0.0,0.05714285714285714,0.0,0.10476190476190476,0.02857142857142857,0.009523809523809525,0.10476190476190476,0.02857142857142857,0.18095238095238095,0.11428571428571428,0.09523809523809523,0.0380952380952381,0.10476190476190476,0.09523809523809523,0.0,0.009523809523809525,0.05714285714285714,0.0761904761904762,0.09523809523809523,0.09523809523809523,0.10476190476190476,0.0,0.0,0.11428571428571428,0.12380952380952381,0.02857142857142857,0.0,0.11428571428571428,0.0,0.12380952380952381
Pm.9,0.14285714285714285,0.0,0.009523809523809525,0.1619047619047619,0.14285714285714285,0.10476190476190476,0.009523809523809525,0.14285714285714285,0.17142857142857143,0.19047619047619047,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.12380952380952381,0.13333333333333333,0.18095238095238095,0.11428571428571428,0.18095238095238095,0.2,0.14285714285714285,0.14285714285714285,0.20952380952380953,0.14285714285714285,0.0,0.009523809523809525,0.22857142857142856,0.009523809523809525,0.1619047619047619,0.17142857142857143,0.13333333333333333,0.17142857142857143,0.18095238095238095,0.18095238095238095,0.14285714285714285,0.18095238095238095,0.13333333333333333,0.12380952380952381,0.14285714285714285,0.0380952380952381,0.14285714285714285,0.1619047619047619,0.02857142857142857,0.01904761904761905,0.17142857142857143,0.12380952380952381,0.13333333333333333,0.13333333333333333,0.10476190476190476,0.13333333333333333,0.1619047619047619,0.12380952380952381,0.14285714285714285,0.14285714285714285,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.11428571428571428,0.17142857142857143,0.13333333333333333,0.14285714285714285,0.17142857142857143,0.18095238095238095,0.009523809523809525,0.13333333333333333,0.18095238095238095,0.13333333333333333,0.18095238095238095
KECS.64,0.2,0.12380952380952381,0.0,0.2571428571428571,0.26666666666666666,0.17142857142857143,0.0,0.2,0.2571428571428571,0.2857142857142857,0.18095238095238095,0.24761904761904763,0.24761904761904763,0.20952380952380953,0.24761904761904763,0.29523809523809524,0.2,0.2857142857142857,0.29523809523809524,0.2,0.26666666666666666,0.3047619047619048,0.20952380952380953,0.0380952380952381,0.0,0.3238095238095238,0.02857142857142857,0.26666666666666666,0.2571428571428571,0.19047619047619047,0.2761904761904762,0.26666666666666666,0.2571428571428571,0.20952380952380953,0.2857142857142857,0.21904761904761905,0.2,0.2,0.11428571428571428,0.2,0.26666666666666666,0.08571428571428572,0.02857142857142857,0.2761904761904762,0.19047619047619047,0.19047619047619047,0.24761904761904763,0.18095238095238095,0.2,0.26666666666666666,0.20952380952380953,0.2,0.20952380952380953,0.19047619047619047,0.17142857142857143,0.18095238095238095,0.19047619047619047,0.2761904761904762,0.19047619047619047,0.2,0.26666666666666666,0.2571428571428571,0.02857142857142857,0.18095238095238095,0.2857142857142857,0.18095238095238095,0.2571428571428571
Ent.24,0.06666666666666667,0.0380952380952381,0.01904761904761905,0.0,0.10476190476190476,0.009523809523809525,0.01904761904761905,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.047619047619047616,0.08571428571428572,0.08571428571428572,0.01904761904761905,0.08571428571428572,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0380952380952381,0.06666666666666667,0.10476190476190476,0.14285714285714285,0.06666666666666667,0.02857142857142857,0.01904761904761905,0.09523809523809523,0.02857142857142857,0.02857142857142857,0.10476190476190476,0.11428571428571428,0.02857142857142857,0.11428571428571428,0.10476190476190476,0.06666666666666667,0.02857142857142857,0.06666666666666667,0.08571428571428572,0.06666666666666667,0.047619047619047616,0.06666666666666667,0.02857142857142857,0.0380952380952381,0.01904761904761905,0.02857142857142857,0.06666666666666667,0.11428571428571428,0.08571428571428572,0.009523809523809525,0.0761904761904762,0.02857142857142857,0.0380952380952381,0.06666666666666667,0.06666666666666667,0.05714285714285714,0.009523809523809525,0.09523809523809523,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.06666666666666667,0.0761904761904762,0.10476190476190476,0.02857142857142857,0.047619047619047616,0.02857142857142857,0.047619047619047616,0.10476190476190476
Pm.18,0.0761904761904762,0.0,0.009523809523809525,0.08571428571428572,0.0,0.0380952380952381,0.009523809523809525,0.0761904761904762,0.08571428571428572,0.10476190476190476,0.0761904761904762,0.13333333333333333,0.13333333333333333,0.05714285714285714,0.13333333333333333,0.11428571428571428,0.047619047619047616,0.08571428571428572,0.09523809523809523,0.0761904761904762,0.0,0.11428571428571428,0.0761904761904762,0.0,0.009523809523809525,0.10476190476190476,0.009523809523809525,0.08571428571428572,0.06666666666666667,0.05714285714285714,0.08571428571428572,0.08571428571428572,0.0761904761904762,0.0761904761904762,0.08571428571428572,0.08571428571428572,0.06666666666666667,0.0761904761904762,0.01904761904761905,0.0761904761904762,0.08571428571428572,0.01904761904761905,0.009523809523809525,0.08571428571428572,0.06666666666666667,0.05714285714285714,0.13333333333333333,0.047619047619047616,0.06666666666666667,0.08571428571428572,0.047619047619047616,0.0761904761904762,0.0761904761904762,0.06666666666666667,0.0380952380952381,0.05714285714285714,0.0380952380952381,0.08571428571428572,0.0761904761904762,0.0761904761904762,0.0761904761904762,0.0761904761904762,0.0,0.0761904761904762,0.08571428571428572,0.0761904761904762,0.0761904761904762
St.17,0.18095238095238095,0.12380952380952381,0.0761904761904762,0.1523809523809524,0.2,0.0,0.0761904761904762,0.1619047619047619,0.17142857142857143,0.12380952380952381,0.1523809523809524,0.21904761904761905,0.21904761904761905,0.09523809523809523,0.21904761904761905,0.22857142857142856,0.02857142857142857,0.18095238095238095,0.18095238095238095,0.18095238095238095,0.2,0.23809523809523808,0.18095238095238095,0.08571428571428572,0.0761904761904762,0.22857142857142856,0.06666666666666667,0.17142857142857143,0.18095238095238095,0.19047619047619047,0.17142857142857143,0.2,0.18095238095238095,0.18095238095238095,0.18095238095238095,0.19047619047619047,0.14285714285714285,0.18095238095238095,0.11428571428571428,0.18095238095238095,0.17142857142857143,0.0761904761904762,0.09523809523809523,0.18095238095238095,0.18095238095238095,0.19047619047619047,0.21904761904761905,0.08571428571428572,0.19047619047619047,0.17142857142857143,0.0380952380952381,0.18095238095238095,0.18095238095238095,0.17142857142857143,0.0,0.14285714285714285,0.01904761904761905,0.18095238095238095,0.17142857142857143,0.18095238095238095,0.1523809523809524,0.18095238095238095,0.0761904761904762,0.1523809523809524,0.18095238095238095,0.1523809523809524,0.18095238095238095
KECS.60,0.20952380952380953,0.13333333333333333,0.009523809523809525,0.26666666666666666,0.2761904761904762,0.18095238095238095,0.0,0.20952380952380953,0.26666666666666666,0.29523809523809524,0.19047619047619047,0.2571428571428571,0.2571428571428571,0.21904761904761905,0.2571428571428571,0.3047619047619048,0.20952380952380953,0.29523809523809524,0.3047619047619048,0.20952380952380953,0.2761904761904762,0.3142857142857143,0.21904761904761905,0.047619047619047616,0.009523809523809525,0.3333333333333333,0.02857142857142857,0.2761904761904762,0.26666666666666666,0.2,0.2857142857142857,0.2761904761904762,0.26666666666666666,0.21904761904761905,0.29523809523809524,0.22857142857142856,0.20952380952380953,0.20952380952380953,0.12380952380952381,0.20952380952380953,0.2761904761904762,0.08571428571428572,0.02857142857142857,0.2857142857142857,0.2,0.2,0.2571428571428571,0.19047619047619047,0.20952380952380953,0.2761904761904762,0.21904761904761905,0.20952380952380953,0.21904761904761905,0.2,0.18095238095238095,0.19047619047619047,0.2,0.2857142857142857,0.2,0.20952380952380953,0.2761904761904762,0.26666666666666666,0.0380952380952381,0.19047619047619047,0.29523809523809524,0.19047619047619047,0.26666666666666666
Ecoli.27,0.01904761904761905,0.06666666666666667,0.009523809523809525,0.10476190476190476,0.14285714285714285,0.06666666666666667,0.009523809523809525,0.0,0.11428571428571428,0.13333333333333333,0.0,0.12380952380952381,0.12380952380952381,0.08571428571428572,0.12380952380952381,0.1523809523809524,0.0761904761904762,0.12380952380952381,0.13333333333333333,0.01904761904761905,0.14285714285714285,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.1619047619047619,0.01904761904761905,0.11428571428571428,0.13333333333333333,0.19047619047619047,0.12380952380952381,0.13333333333333333,0.13333333333333333,0.02857142857142857,0.12380952380952381,0.11428571428571428,0.11428571428571428,0.01904761904761905,0.06666666666666667,0.01904761904761905,0.11428571428571428,0.02857142857142857,0.01904761904761905,0.11428571428571428,0.047619047619047616,0.19047619047619047,0.12380952380952381,0.09523809523809523,0.05714285714285714,0.11428571428571428,0.08571428571428572,0.01904761904761905,0.02857142857142857,0.0761904761904762,0.06666666666666667,0.10476190476190476,0.08571428571428572,0.11428571428571428,0.01904761904761905,0.01904761904761905,0.11428571428571428,0.13333333333333333,0.01904761904761905,0.0,0.12380952380952381,0.0,0.13333333333333333
Ent.50,0.06666666666666667,0.047619047619047616,0.01904761904761905,0.02857142857142857,0.10476190476190476,0.02857142857142857,0.01904761904761905,0.06666666666666667,0.0,0.10476190476190476,0.06666666666666667,0.09523809523809523,0.09523809523809523,0.01904761904761905,0.09523809523809523,0.13333333333333333,0.047619047619047616,0.02857142857142857,0.06666666666666667,0.06666666666666667,0.10476190476190476,0.14285714285714285,0.06666666666666667,0.01904761904761905,0.01904761904761905,0.12380952380952381,0.01904761904761905,0.01904761904761905,0.09523809523809523,0.10476190476190476,0.02857142857142857,0.11428571428571428,0.09523809523809523,0.06666666666666667,0.02857142857142857,0.08571428571428572,0.08571428571428572,0.06666666666666667,0.05714285714285714,0.06666666666666667,0.01904761904761905,0.0380952380952381,0.02857142857142857,0.01904761904761905,0.0761904761904762,0.10476190476190476,0.09523809523809523,0.01904761904761905,0.0761904761904762,0.01904761904761905,0.05714285714285714,0.06666666666666667,0.06666666666666667,0.05714285714285714,0.02857142857142857,0.10476190476190476,0.047619047619047616,0.01904761904761905,0.06666666666666667,0.06666666666666667,0.0761904761904762,0.09523809523809523,0.02857142857142857,0.06666666666666667,0.02857142857142857,0.06666666666666667,0.09523809523809523
St.48,0.11428571428571428,0.08571428571428572,0.06666666666666667,0.10476190476190476,0.14285714285714285,0.0,0.06666666666666667,0.10476190476190476,0.12380952380952381,0.0,0.10476190476190476,0.12380952380952381,0.12380952380952381,0.06666666666666667,0.12380952380952381,0.12380952380952381,0.0,0.12380952380952381,0.11428571428571428,0.11428571428571428,0.14285714285714285,0.13333333333333333,0.11428571428571428,0.0761904761904762,0.06666666666666667,0.14285714285714285,0.06666666666666667,0.11428571428571428,0.10476190476190476,0.13333333333333333,0.11428571428571428,0.11428571428571428,0.10476190476190476,0.11428571428571428,0.12380952380952381,0.11428571428571428,0.06666666666666667,0.11428571428571428,0.08571428571428572,0.11428571428571428,0.11428571428571428,0.0761904761904762,0.06666666666666667,0.12380952380952381,0.11428571428571428,0.13333333333333333,0.12380952380952381,0.047619047619047616,0.12380952380952381,0.11428571428571428,0.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.08571428571428572,0.0,0.12380952380952381,0.11428571428571428,0.11428571428571428,0.13333333333333333,0.10476190476190476,0.0761904761904762,0.10476190476190476,0.12380952380952381,0.10476190476190476,0.10476190476190476
