,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,Ent,St,St,St,St,St,St,St,St,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,Ps,MM,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,Pm,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,KECS,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli,Ecoli
Ecoli,0.1992052221805341,0.4076897650562008,0.16067077771689764,0.08450280816023076,0.35554168203996944,0.2657938382887919,-0.05169411154612194,0.05858753660181361,2.408499305333568,0.0537072933460963,0.2968718171028788,0.31206309991918346,0.02290770351433026,0.008663761002741618,0.5146093962616239,-0.0021805356408035807,0.06667770021163112,0.31789408363600136,-0.10085385260270542,0.09026017725172651,-0.08711827724871338,0.01569695564711387,-0.04894720649993336,0.06714580671258213,-0.02319539522986856,-0.01860875384678232,0.09328868341113086,-0.1098573669103572,-0.14736662531763342,-0.2397146720564804,0.015235605367650576,-0.05624258510384476,-0.16134748649336939,-0.15250120429364197,-0.05378104944356146,-0.06697279892239698,-0.18237115802407527,-0.21528607727569288,-0.1887524024274718,-0.06010145681611189,-0.06986295346995094,-0.034018958567600746,-0.054755977297150364,-0.07810855768147094,0.32680508852516565,0.0174634229014038,-0.1576869049076625,-0.16156945098342937,-0.26639739360994547,-0.11377069337817965,-0.03755750584967785,-0.056766434203416906,-0.13654663103323067,-0.07717886405781856,-0.11013759665056737,-0.028043467940713857,-0.05060803449490868,-0.023807830625400168,-0.07155020295910867,0.0416792269914885,-0.09371920607447456,-0.006543029004693364,-0.05189034627177059,-0.07310651378059722,-0.10332341418090128,-0.13278070303390183,-0.05849686210351003,0.004043513967670091,-0.03366047039328154,-0.18655931542244386,0.012388840419060833
Ecoli,0.13782537278195778,0.4607307688576205,0.12895936933632868,0.0724577684591182,0.28910917865114094,0.34386158232153946,0.10789403358923351,0.25846961322656925,2.275165405813641,0.06133335883830126,0.16028068148849947,0.4403301954342438,-8.116329365103423e-05,0.018115125834783658,0.43525553400831485,0.08459635483641459,-0.05695457344034402,0.33429300668072587,0.12642055795865959,-0.11995752439430772,-0.06557944671266817,-0.9205754983894009,0.0336820375842259,0.13663462262174528,0.006239195675992934,0.05555636457738078,0.04789547834311615,0.024997054048245773,-0.10556289169002976,-0.0748939163115487,0.14583125178754786,-0.008224478493482578,-0.19493083668105413,-0.18608449979192299,-0.07474346018732213,-0.14655158290667242,-0.17218434835398563,-0.25297473439804796,-0.4560842350608149,0.11605282859993273,-0.018130478316854392,-0.027439123049624797,-0.1968102731568225,-0.1345820014636236,0.3108082881511359,-0.0863136858872252,-0.28440686845933905,-0.16806655977042168,-0.28355660723103787,-0.2006972035912663,0.010626240988299892,-0.07040488934369014,-0.1193808877924583,-0.06222044196034042,-0.1405176368403084,-0.07103303692417613,-0.0032392005501773818,0.008426001336190354,-0.04076686062348965,0.02708010173207462,-0.12115283831907384,-0.02212467556475948,-0.030016934167951363,-0.07187237757391705,-0.06777142133243466,-0.06088419300212039,-0.06742374606554587,0.06560289199388948,-0.00999994318383942,-0.14529006130684696,-0.0040349695518017
Ecoli,0.12985511840163955,0.4749966433786157,0.36137806689719654,-0.0065387209179927925,0.05238426905820786,0.11249485562477944,0.047866785605679724,0.1395403526085683,-0.035742531446404345,0.06125237767766354,0.21499161438085987,0.17848872085376027,0.41593154338029437,0.12386017681512639,-0.32654877147545935,-0.1437062961208106,-0.8547203691763493,-0.07055083090428503,0.31521058689784254,0.10817605829510259,0.017576327399205397,-inf,0.05424345837118445,0.11839573680558242,0.06015034465891992,0.0026636493342359416,0.11288465817011459,0.007527695670628651,-0.044925642561495505,0.1206944621255558,-0.06747856149044901,-0.05612844914162023,0.06048014079131896,-0.0425361920844053,-0.006306413690732,-1.5672749454194865,-0.07506415376507476,-0.23323839573396032,-0.20446450843402886,0.1208249820203406,-0.14182303346486472,0.7038627630878019,-0.07741093632379313,0.04564245341705518,-0.07976226450139919,-0.0027473304586354574,-0.017481688160348553,-0.04683625229910298,-0.15819290027008648,-0.0838358425222893,0.1386137182006243,-0.022603576895681956,-0.1752334051994863,0.03338535513583532,0.03517812983627436,0.040990588307523966,-0.012219869408575055,0.04326875874984112,-0.15934544093179437,0.11020497230584898,0.08120719862146265,-0.01535707860686731,0.034814384916617556,-0.02899370453933109,-0.08301457847688551,-0.39409649141880215,-0.009869937984761368,-0.16317673403904465,-0.05771913807522718,0.00536030784593059,0.025165573897269162
Ecoli,0.093757338406308,0.23328063700483523,0.20578650554425432,0.01970017106732745,0.20066511362839098,0.0672174296557791,-0.05979820089629326,0.17915137039227697,0.03549599653928638,0.06266226206384658,0.20419524058568742,0.0016861776031862903,0.014941123430298167,0.03339618733396417,0.18595818623403737,-0.10728662497155474,-1.0290768883765282,0.26189923328032433,0.028446630609832088,-0.24450013838070161,0.0018652593217275402,0.19325754034572812,-0.18491838162684046,-0.14230911867607365,0.03373202397333917,-0.13090479942827124,0.12299326105035426,-0.026108541044110437,-0.06089901883485359,-0.18806619366937571,-0.17144140489304377,-0.08290022482297879,-0.08226719751749485,-0.20034783425410727,-0.08195477951836791,-0.09081464388530402,-0.15652753731635902,-0.1174959981056031,-0.15111968958925676,0.15704084213879269,-0.05274101551446239,0.0017975833784731803,-0.18139835907214097,-0.0653749028072273,-0.09812645578931618,-0.12260150209266861,-inf,0.015574190239494969,-0.19356953074186278,-0.1272320182680861,0.06594812093480659,-0.11323537446059556,-0.05313352341292799,-0.047198395206100925,-0.13486718725819624,-0.00503941655652601,-0.06919915704806916,0.005788713024729304,-0.06846891234894639,-0.029140644181813447,-0.05930389373685437,-0.005347080187323463,-0.09266082145556058,-0.036610137273654586,-0.011683739838835694,-0.1536637000878085,-0.021501887621588823,-0.07793773634765062,0.020528834132388117,0.012872097935595591,-0.11898705895161218
Ecoli,0.2520019918548891,0.42788652560025614,0.37503875231751,0.14195553469136352,0.04579702252016463,0.025582070563858403,0.12456558209713348,0.09008847951662284,0.03981303769445921,0.13915862998404943,0.2457997503578782,0.3460769632056496,0.2370806176354026,0.1652493185906391,0.6091956266244012,0.13514757340049977,0.005671784975018759,0.6404617597191311,0.16260393588462965,0.3117806793874275,0.015450326624007811,0.16435444391004692,-0.01494588538381132,0.04787793869445385,0.1450920598531727,-0.018705818011452064,0.14735944292095213,-0.011671082898145852,-0.046116684602837604,0.014892651894459335,0.01616307096240184,-0.0032400533083255974,0.08765889230633178,-0.08664014045189573,0.023664376820038933,-0.02462496087880014,-0.033481398573048625,-0.05492347552912365,-0.07641192113011891,0.05715876383988729,-0.03701962851833761,0.13838987108091588,-0.09524512692030955,-0.03504266456638433,-0.06075897396628077,-0.04162129304089228,0.04704063463475438,-0.04810930550630467,-0.0919562006858149,-0.3007902234415573,0.01072864175203197,-0.077718035984444,0.03868162556398227,0.03362721404855553,0.05869381783705613,0.07896163121321119,0.03906262373473069,0.11145630850307156,0.01962467028629964,0.07733356433333792,0.12698325025919058,0.005933760371410147,0.07201280024169873,-0.007072803409188452,0.04448567503927787,-0.016384475439076198,0.04846515898001422,0.06558968721887407,0.033092647934580034,-0.025542725584049294,0.057110784927932236
Ecoli,0.16864377428295593,0.391585294272566,0.11281203400856014,-0.10420741406840674,0.05670334364454545,-0.15130363318017512,-0.25229424671767947,0.2488531685312365,-0.11394346624608401,0.044360175768195044,-0.0005793778069121919,0.01824307849856114,-0.13890845170196575,0.03888969683496279,0.3710684683793743,0.161363717497259,-0.09063567136262715,0.2089720076651328,-0.06941837628699467,-0.15423781862373293,-0.12436173416782936,-0.4388916415883721,-0.01881551685004035,-0.028094798717862537,-0.13528780278158675,-0.10892677833097479,-0.06766180417879405,-0.05342427911299877,-0.07800038546737338,-0.059721554704313416,-0.14337428102126676,-0.07178647353346956,-0.22447954335427828,-0.19734590315913048,-0.1644390423233519,-0.08507723047567903,-0.1299276766731312,-0.32395187449577256,-0.37413173087119417,0.1275729135936664,-0.08076675890204132,-0.06890339334738248,-0.11238850981052607,-0.015721233526459183,-0.06805775170491526,-0.19189261358062543,-0.13175383056733125,-0.13382029149463995,-0.17596562658079593,-0.2730087474985459,-0.11692979352100619,-0.06151397967792316,-0.07529985447103267,-0.06681527631211588,-0.12914774628572315,-0.05009226853949928,-0.023815050510635472,0.007489979937873512,-0.14582222786532667,-0.02845462007510788,0.011957918260721767,0.0019969048576792764,0.012895297110732638,-0.03873003835385234,-0.04643202426815149,-0.12344019474874213,-0.03210836040459126,0.09715983177931102,-0.0337000409458495,-0.04285072809261772,-0.047328648204386925
Ecoli,0.513710418740849,0.6113897410737599,0.24016191398359812,0.30132695617042027,0.158876779916,0.27828129831465476,0.06254822932016957,0.288942902271703,0.10705790427834999,0.3213490991286244,0.05818164016529484,0.18971135154465366,0.29966960896985073,0.33084636963809716,0.6047686512615261,-0.37686435688398096,0.7136173301116021,-0.2094974098754346,0.29709830030129025,0.526314548647036,-0.00893859043515454,-0.4233416862284646,0.03127150947809531,0.03412544660933991,0.10176846195059829,0.040408853189127125,0.1382166620878098,0.14805649077907904,-0.028010887479982555,0.0375730102823175,-0.02971951205467462,-0.012437080854565909,-0.03142405424297638,-0.02714800485022018,-0.01153092633633987,-0.03370322651582983,0.017499781703033342,-0.14848942832800857,-0.04270751057228423,0.2872951976253651,0.007772614815290908,0.07675463094612182,-0.08240586773805923,0.17915538308509305,-0.07402394183821384,0.03338854677783421,-0.11203639427486647,-0.22207994214703053,-0.031066309259476316,0.03160437852598058,0.07979092213206336,0.09812294753434624,0.05146743422432899,0.05124989844596024,-0.11209201030485234,0.05398303877966089,0.09968233526064602,0.10223153550114648,0.0518039040042694,0.18848941306800862,0.0546441390317428,0.1561745162024314,0.06448173827545498,0.04368716599352866,0.07092294103716623,0.028383451593331478,0.011934993769548125,0.09807054829747745,0.11478797716537245,0.1734687359562787,0.10409962106423948
Ecoli,0.13362768798797525,0.4027330460898342,0.2253845583810566,0.2048942002596562,0.0485568988699593,0.24297433507673755,0.034207011684688815,0.04555656075216421,0.06648749565227646,0.07886755591464434,0.20017015202936764,0.29457332314613005,0.5204827829356689,0.06368140391753115,-0.041189676690393806,0.08229153101994176,-0.7808798503459644,-0.10944001439785055,0.27607765084445945,0.13786257450008904,0.0023240971926628776,0.3300898409675712,0.008426992945096766,0.041521429858320684,0.07322648375695595,-0.07352541725639651,0.14806011277858663,-0.11596001461946746,-0.042897240103585824,-0.003264432466478133,-0.05925035218267481,-0.058912234413965175,-0.08938527974116232,-0.16556300505691063,-0.06288540295734811,-0.094200729472008,-0.09259124645587695,-0.0036915453769402217,-0.31367463794825695,0.11724137787517926,-0.10886079003246688,0.03342597527381601,-0.1364173587357888,-0.0014390349142568337,-0.0725651444631309,-0.07684055919436894,-0.01435044688084506,-0.1235543124827267,-0.27856599047755914,-0.10990527187940856,0.08925506636838405,0.018355993190158765,0.01925610543128833,0.0034743574242481886,-0.039404686875408705,0.03671257039127162,-0.06487141920865248,0.06477721139878412,0.051770385561455294,0.058322208590273095,0.033046499556118866,0.007303861743945346,0.05667660334346593,-0.06362451763273046,0.03913897904390914,0.08434022931568139,0.044280104360145324,-0.03894794955665365,0.02828780068640733,-0.005450205423482768,0.09796583225397282
Ecoli,0.19512104276894623,0.439014771211657,-4.901367686648856,0.19665237828324295,0.2084060458032239,-0.2203273081523156,0.1710428573831427,0.1394094454728161,4.419902320883243e-05,0.2402884539083912,0.25092975430335757,0.0627339250831343,0.045960259000375,0.15371338422747322,-0.3130862978451613,-0.09571037287088904,0.07483127479300268,-0.006084684202032446,0.13167805124790116,0.363469369464147,-0.8220628875836525,-0.412002334285459,-0.24671789284030501,-0.04111259924171717,0.010829350342906061,-0.027806378832784452,-0.08429980208852281,-0.12150107651198244,-0.6692560598100719,-0.16340620536355363,-0.2068879056559262,-0.11297208809534709,-0.08155476776043033,-0.09561163523744842,-0.08412622305186548,0.11509676419106915,-0.10297351126538376,-0.08217605330465587,-0.0855495223835696,0.15266211532178597,-0.10359950048897548,-0.040086171554386006,-0.18226006268475606,-0.009434464934873989,-0.060149139251188345,-0.03449232959887411,-0.11991656501238389,-0.2725764326070497,-0.1559908251900506,-0.13339360783156892,-0.0045147762821330095,-0.015387858146124794,0.014087897918710516,-0.010953986446984715,-0.24354490080875982,-0.010416837350405167,0.005906522104068437,0.05742326765196999,-0.025825916536759266,0.08214369904466634,-0.016903136485300098,-0.04742980937173347,-0.27534138625419285,-0.1048639167612497,-0.6113748802636763,-0.037725180020654954,-0.050743445582115014,0.11188576980494251,0.049067935111321265,0.08155279768270483,-0.018571793083480892
Ecoli,0.021779789070085032,0.2958625707481113,-0.040040414616750425,-0.212343371289131,0.7750568827755828,-0.14395472732637551,0.5581767530211659,-0.03164701574249272,2.1723372407883685,-0.11316583136842571,-0.038251260024857216,0.7259735994874842,0.6811360852896265,-0.09183518559654154,0.2114795505671754,-0.03631166055280163,-0.23031594907384093,0.28872108249385614,-0.2045213753786261,-0.2611412955988673,-0.2930695321194269,-inf,-0.030700092165196865,0.18964202996055649,-0.3126929736906105,-0.07704158637980942,0.21701271609191491,-0.1534628947389907,-0.2536177460246283,-0.29893351992351835,0.19181254897747715,-0.17092570882799862,-0.6482796140127851,-0.3137272423355105,-0.1877464248182948,-0.09545879984773638,-0.3901458248195971,-0.9182875742375012,-0.4993194246958222,-0.030973102392678704,-0.031004552034308807,-0.09274120843878228,-0.29630819738607217,-0.3428957995977033,0.3696305169010393,-0.24114621876049253,-0.4902398391652773,-0.34069534339694946,-0.2875379628360704,-0.4157842528148013,-0.22974238832740007,-0.2292435434941064,-0.26775695592568705,-0.20166102456506838,-0.3372554852803753,-0.2750506261316995,-0.21950196494578642,-0.04229379583864188,-0.18654332392505152,-0.1249037352697555,-0.3439325738630972,-0.26389203291160596,-0.19826929668516685,-0.2914007113603483,-0.3309026774506392,-0.22586802181575527,-0.2305215645399508,-0.020602113600202816,-0.10807526392127019,-0.27218899243903133,-0.12222789567691307
